Dates,15:52 18 Jun. 2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle,Dynamic Loft,ImpactHorizontal,ImpactVertical,ClubSpeed,SmashFactor
7 Iron,0,109.4,R2.5,22.9,5619,R5.1,5597,R501,34.5,153.6,155.8,R12.7,49.9,L0.0,L0.0,0.0,0.0,H0.0,0.0,0.0,0.0
7 Iron,1,109.8,L4.2,17.0,6775,L40.8,5130,L4425,19.9,139.0,146.2,L45.7,38.3,R1.7,L5.3,-2.9,23.5,T9.3,-25.3,38.8,1.3
7 Iron,2,115.7,R0.9,21.0,6329,L3.5,6317,L387,35.9,161.3,163.0,L2.7,50.2,R2.0,R0.6,-4.4,29.3,T7.5,-19.3,38.4,1.4
7 Iron,3,120.8,L1.0,19.1,6097,L12.6,5950,L1329,35.5,170.8,173.1,L21.6,49.1,R1.6,L1.5,-4.2,26.8,T7.3,-14.7,39.5,1.4
7 Iron,4,116.5,R4.4,17.4,8390,R0.6,8389,R86,30.5,155.8,156.8,R11.6,47.3,R4.1,R4.4,-3.3,24.3,H17.2,-27.8,41.1,1.3
7 Iron,5,113.7,R0.6,17.8,7258,L0.0,7258,L2,29.3,154.8,156.5,R1.4,46.5,L0.0,L0.0,0.0,0.0,H0.0,0.0,0.0,0.0
7 Iron,6,108.2,L4.3,14.8,5919,L0.4,5919,L45,21.6,150.4,156.7,L10.7,39.1,L0.6,L4.8,-6.0,21.5,T19.4,-25.4,40.7,1.2
7 Iron,7,102.4,R4.1,16.5,5655,R16.2,5430,R1582,19.8,138.8,146.1,R24.0,38.0,L0.1,R4.8,-4.7,23.3,T29.2,-20.1,39.9,1.2
7 Iron,8,110.9,R0.1,20.7,6806,R0.6,6806,R68,32.1,151.6,153.1,R1.1,48.7,L4.4,R1.3,-6.4,29.4,T12.0,-16.1,39.4,1.3
7 Iron,9,111.5,L2.9,17.0,5597,L9.0,5528,L873,26.5,159.1,164.2,L18.3,42.7,R0.1,L3.3,-5.6,24.3,T10.2,-23.5,38.9,1.3
7 Iron,10,112.1,L2.4,21.1,6544,L2.4,6539,L271,33.7,154.6,156.1,L9.0,49.4,R0.1,L3.0,-3.6,29.2,T15.5,-21.0,39.9,1.3
