Dates,10:30 22 Jun. 2026,Place,Trackman Bay

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle,Dynamic Loft,ImpactHorizontal,ImpactVertical,ClubSpeed,SmashFactor
Driver,0,161.2,R2.1,12.8,2542,R3.2,2527,R183,47.4,274.8,292.1,R8.4,33.2,R0.8,R2.2,4.1,13.4,T2.4,-28.6,48.2,1.48
Driver,1,158.4,L1.8,13.4,2784,L8.2,2698,L482,46.8,268.4,284.8,L6.2,34.1,L0.4,L2.1,3.8,14.2,H3.8,-29.8,47.9,1.47
Driver,2,163.1,R0.8,12.2,2398,R2.4,2386,R92,48.2,278.4,296.8,R4.1,32.4,R1.2,R0.6,4.8,12.8,T0.8,-27.2,49.1,1.49
Driver,3,155.8,L4.2,14.1,3042,L18.4,2884,L968,45.8,260.2,272.1,L18.2,35.4,L2.1,L4.6,3.2,15.1,H8.2,-31.4,47.4,1.44
Driver,4,160.8,R0.4,12.6,2612,R1.8,2601,R51,47.1,272.8,291.2,R2.4,33.1,R0.3,R0.4,4.2,13.2,T1.2,-27.8,48.8,1.47
Driver,5,153.4,L2.8,13.8,2891,L14.2,2748,L748,44.4,258.2,271.8,L12.4,34.8,R0.8,L2.4,3.4,14.6,H12.4,-30.8,47.6,1.44
3 Wood,0,148.2,L1.2,14.8,3648,L4.8,3612,L306,47.8,238.4,252.1,L5.8,36.8,R0.6,L1.4,-1.8,16.2,T1.8,-24.4,45.2,1.45
3 Wood,1,144.8,R2.4,15.4,3924,R8.2,3842,R541,46.2,232.8,245.4,R10.4,37.8,R1.8,R2.8,-1.4,17.1,T8.4,-25.8,44.8,1.44
3 Wood,2,151.4,L0.4,14.2,3412,L2.1,3388,L142,49.1,244.8,259.2,L2.4,35.8,R0.4,L0.6,-2.1,15.4,T0.4,-22.8,45.8,1.46
3 Wood,3,141.8,L4.8,15.8,4218,L22.4,3988,L1484,44.8,226.4,238.8,L21.4,38.4,L1.2,L4.2,-1.2,17.8,H10.4,-28.4,44.4,1.43
3 Wood,4,149.4,R0.8,14.6,3728,R4.2,3694,R261,48.2,240.8,255.4,R4.8,36.4,R1.4,R0.8,-1.6,16.4,T2.8,-23.8,45.4,1.45
3 Wood,5,146.2,L2.1,15.1,3842,L11.8,3724,L810,46.8,234.8,248.2,L9.8,37.2,L0.8,L2.4,-1.8,16.8,H5.8,-26.4,44.8,1.44
5 Wood,0,142.8,L0.8,15.8,4284,L3.4,4248,L301,46.4,222.4,235.8,L4.2,38.4,R0.4,L1.1,-2.4,17.4,T1.2,-23.4,43.8,1.44
5 Wood,1,138.4,R2.8,16.4,4648,R9.8,4562,R617,44.8,214.8,227.4,R12.8,39.4,R2.1,R3.2,-2.1,18.2,T10.8,-25.8,43.2,1.42
5 Wood,2,144.1,L0.2,15.4,4124,L1.8,4098,L159,47.2,226.4,240.1,L2.1,37.8,R0.8,L0.4,-2.8,16.8,T0.4,-22.4,44.2,1.44
5 Wood,3,136.8,L5.4,17.1,5048,L24.8,4784,L2008,42.8,208.4,220.2,L24.4,40.8,L1.8,L4.8,-1.8,18.8,H12.4,-28.4,42.8,1.42
5 Wood,4,141.4,R1.2,15.9,4348,R5.2,4298,R394,46.1,220.2,233.8,R6.8,38.8,R1.4,R1.2,-2.4,17.2,T4.2,-24.2,43.6,1.43
5 Wood,5,139.8,L1.8,16.2,4498,L8.4,4382,L814,45.1,217.4,229.8,L8.2,39.1,L0.2,L2.1,-2.2,17.8,H4.8,-25.1,43.4,1.43
4 Hybrid,0,131.8,L1.2,17.4,5148,L5.2,5098,L458,47.4,208.4,220.1,L6.2,40.4,R0.8,L1.4,-2.8,18.8,T1.8,-22.4,42.2,1.42
4 Hybrid,1,128.4,R2.8,18.2,5484,R8.4,5384,R854,46.1,202.8,213.8,R12.4,41.2,R2.1,R3.1,-2.4,19.4,T9.8,-24.8,41.8,1.41
4 Hybrid,2,133.4,L0.4,17.1,4984,L2.4,4948,L240,48.2,211.4,223.8,L3.1,39.8,R0.4,L0.8,-3.1,18.2,T0.8,-21.8,42.8,1.42
4 Hybrid,3,126.2,L4.8,18.8,5824,L21.4,5584,L2178,44.8,198.4,209.4,L22.4,42.1,L1.4,L4.2,-2.2,20.1,H11.8,-27.4,41.4,1.41
4 Hybrid,4,130.8,R1.2,17.6,5248,R4.8,5194,R453,47.1,206.4,218.1,R7.4,40.8,R1.2,R1.4,-2.8,18.4,T3.4,-23.4,42.4,1.42
4 Hybrid,5,129.4,L2.1,17.9,5384,L9.8,5278,L901,46.4,204.2,215.8,L10.8,41.1,L0.8,L2.4,-2.6,19.2,H6.2,-24.8,41.6,1.41
4 Iron,0,128.4,L0.8,18.2,5498,L3.8,5448,L467,47.2,194.8,205.4,L4.8,41.8,R0.6,L1.1,-3.4,19.8,T1.4,-21.8,41.8,1.40
4 Iron,1,124.8,R2.4,19.1,5784,R7.8,5684,R750,46.1,188.4,198.4,R11.4,42.8,R1.8,R2.8,-3.1,20.8,T8.4,-24.2,41.2,1.39
4 Iron,2,129.8,L0.2,18.1,5384,L2.1,5348,L215,47.8,196.4,207.2,L2.2,41.4,R0.4,L0.6,-3.6,19.4,T0.4,-20.8,42.1,1.40
4 Iron,3,122.4,L4.8,19.8,6124,L18.4,5948,L1801,44.2,184.2,193.8,L21.8,43.4,L1.2,L4.1,-2.8,21.4,H12.4,-27.4,40.8,1.38
4 Iron,4,127.4,R1.1,18.4,5548,R4.2,5494,R409,47.1,192.8,203.4,R7.1,41.8,R1.2,R1.1,-3.4,19.8,T2.8,-22.4,41.4,1.39
4 Iron,5,125.8,L1.8,18.8,5684,L8.4,5584,L820,46.4,190.4,200.8,L9.8,42.4,L0.4,L2.1,-3.2,20.4,H5.4,-24.1,41.0,1.39
5 Iron,0,124.2,L0.8,19.2,5848,L3.4,5784,L397,48.2,183.4,192.8,L4.4,43.4,R0.6,L1.1,-3.6,20.8,T1.4,-20.8,41.2,1.39
5 Iron,1,120.8,R2.4,20.1,6184,R7.2,6064,R770,46.8,176.8,185.4,R10.8,44.4,R1.8,R2.6,-3.4,21.8,T8.2,-23.4,40.6,1.38
5 Iron,2,125.8,L0.4,18.8,5748,L2.1,5698,L239,48.8,185.8,195.4,L2.8,43.1,R0.4,L0.8,-3.8,20.4,T0.4,-20.1,41.4,1.39
5 Iron,3,118.4,L5.1,20.8,6524,L19.8,6288,L2001,44.8,172.4,181.2,L22.8,45.1,L1.4,L4.2,-3.1,22.4,H13.8,-27.1,40.2,1.38
5 Iron,4,123.2,R1.2,19.4,5948,R4.8,5878,R452,47.8,181.4,190.8,R7.4,43.8,R1.2,R1.2,-3.6,20.8,T3.4,-21.4,40.8,1.38
5 Iron,5,121.8,L1.8,19.8,6084,L8.2,5968,L878,47.1,178.8,188.1,L9.8,44.1,L0.4,L2.1,-3.4,21.2,H5.8,-22.8,40.4,1.38
6 Iron,0,119.2,L0.8,20.4,6284,L3.8,6218,L472,48.8,172.4,181.2,L4.8,45.1,R0.6,L1.1,-3.8,21.8,T1.2,-20.4,40.4,1.38
6 Iron,1,115.8,R2.8,21.4,6648,R8.4,6512,R907,47.1,165.8,174.1,R11.4,46.1,R1.8,R2.8,-3.6,22.8,T9.8,-23.1,39.8,1.37
6 Iron,2,120.8,L0.4,20.1,6184,L2.1,6138,L230,49.4,174.8,183.8,L2.8,44.8,R0.4,L0.8,-4.1,21.4,T0.4,-19.8,41.1,1.38
6 Iron,3,113.4,L4.8,22.1,7024,L21.4,6748,L2288,45.2,161.4,169.8,L22.4,47.1,L1.2,L4.1,-3.2,23.4,H14.2,-26.8,39.4,1.37
6 Iron,4,118.4,R1.2,20.6,6384,R4.8,6318,R466,48.4,170.8,179.4,R7.4,45.4,R1.2,R1.2,-3.8,21.8,T2.8,-21.4,39.8,1.37
6 Iron,5,116.8,L2.1,21.1,6524,L9.1,6384,L920,47.8,168.2,177.1,L10.4,46.1,L0.4,L2.4,-3.6,22.2,H6.4,-22.4,39.6,1.37
7 Iron,0,116.4,L0.4,20.8,6624,L3.2,6568,L363,49.2,165.4,167.1,L3.8,49.8,R0.6,L0.8,-4.2,28.4,T1.8,-20.4,39.8,1.36
7 Iron,1,112.8,R2.4,21.8,6984,R7.8,6848,R951,47.8,158.8,160.4,R10.8,50.8,R1.8,R2.6,-4.1,29.4,T9.4,-22.8,39.2,1.35
7 Iron,2,118.1,L0.2,20.4,6484,L2.1,6438,L232,50.1,168.4,170.1,L2.4,49.4,R0.4,L0.6,-4.4,28.1,T0.4,-19.4,40.1,1.36
7 Iron,3,110.4,L4.8,22.4,7348,L19.8,7084,L2084,45.8,154.2,156.1,L22.1,51.8,L1.2,L3.8,-3.8,30.2,H13.4,-25.8,38.8,1.35
7 Iron,4,115.4,R1.2,21.1,6724,R5.1,6658,R478,48.8,163.2,165.1,R7.2,50.4,R1.2,R1.4,-4.2,28.8,T2.8,-21.4,39.4,1.35
7 Iron,5,113.8,L1.8,21.4,6848,L8.4,6728,L868,48.1,160.8,162.4,L9.8,50.2,L0.4,L2.1,-4.1,29.1,H5.4,-22.4,39.0,1.35
8 Iron,0,110.8,L0.8,22.4,7284,L3.8,7218,L461,48.8,152.4,154.2,L4.8,51.8,R0.6,L1.1,-4.4,30.4,T1.2,-19.8,39.1,1.36
8 Iron,1,107.4,R2.4,23.4,7648,R8.1,7498,R941,47.4,145.8,147.4,R11.4,52.8,R1.8,R2.8,-4.2,31.4,T9.8,-22.4,38.4,1.35
8 Iron,2,112.2,L0.4,22.1,7184,L2.1,7138,L228,49.4,154.8,156.8,L3.2,51.4,R0.4,L0.8,-4.6,30.1,T0.4,-18.8,39.4,1.35
8 Iron,3,105.2,L4.8,23.8,8024,L21.4,7748,L2188,45.4,141.4,143.1,L22.8,53.4,L1.2,L4.1,-3.8,32.1,H13.8,-25.4,38.1,1.34
8 Iron,4,109.4,R1.2,22.6,7348,R4.8,7278,R468,48.4,150.4,152.1,R7.1,52.1,R1.2,R1.2,-4.4,30.8,T2.8,-20.4,38.8,1.34
8 Iron,5,108.1,L2.1,22.8,7484,L8.4,7348,L860,47.8,148.2,150.1,L9.8,52.4,L0.4,L2.4,-4.2,31.1,H5.8,-21.8,38.4,1.34
